series0
x;y;
429;-87.81;
430;-87.81;
431;-85.71;
432;-81.73;
433;-81.73;
434;-80.29;
435;-78.59;
436;-77.06;
437;-77.06;
438;-75.31;
439;-73.41;
440;-71.68;
441;-69.66;
442;-67.72;
443;-65.74;
444;-63.66;
445;-61.53;
446;-59.27;
447;-57.05;
448;-57.05;
449;-54.73;
450;-52.82;
451;-50.37;
452;-47.67;
453;-45.28;
454;-42.55;
455;-42.55;
456;-37.19;
457;-34.48;
458;-31.83;
459;-28.78;
460;-25.80;
461;-25.80;
462;-23.03;
463;-20.39;
464;-17.57;
465;-14.75;
466;-12.16;
467;-9.35;
468;-9.35;
469;-3.49;
470;-0.60;
471;2.28;
472;2.28;
473;5.13;
474;7.97;
475;10.84;
476;13.73;
477;16.62;
478;19.45;
479;22.24;
480;25.01;
481;27.76;
482;27.76;
483;30.49;
484;33.18;
485;35.88;
486;38.52;
487;41.13;
488;43.68;
489;46.17;
490;48.60;
491;51.03;
492;53.38;
493;55.72;
494;55.72;
495;57.91;
496;60.14;
497;62.23;
498;64.36;
499;66.33;
500;68.26;
501;70.12;
502;71.87;
503;73.59;
504;75.23;
505;76.87;
506;78.36;
507;79.73;
508;81.12;
509;82.26;
510;83.56;
511;84.68;
512;85.58;
513;86.51;
514;86.51;
515;87.35;
516;88.15;
517;88.83;
518;89.31;
519;89.68;
520;90.15;
521;90.50;
522;90.68;
523;90.79;
524;90.79;
525;90.76;
526;90.72;
527;90.58;
528;90.49;
529;90.30;
530;90.08;
531;89.87;
532;89.69;
533;89.45;
534;88.78;
535;88.03;
536;88.03;
537;87.00;
538;85.74;
539;84.64;
540;83.36;
541;81.92;
542;80.48;
543;78.93;
544;77.25;
545;77.25;
546;73.77;
547;71.77;
548;71.77;
549;69.99;
550;67.82;
551;65.77;
552;63.81;
553;61.63;
554;59.42;
555;57.18;
556;54.79;
557;53.03;
558;50.66;
559;48.06;
560;48.06;
561;45.43;
562;42.58;
563;40.04;
564;37.25;
565;34.31;
566;31.52;
567;28.75;
568;25.98;
569;25.98;
570;20.42;
571;17.57;
572;14.91;
573;12.22;
574;12.22;
575;9.35;
576;6.44;
577;3.53;
578;0.55;
579;-2.29;
580;-5.24;
581;-8.07;
582;-10.98;
583;-10.98;
584;-16.67;
585;-19.47;
586;-19.47;
587;-22.31;
588;-25.07;
589;-27.84;
590;-30.61;
591;-33.28;
592;-35.96;
593;-38.62;
594;-41.17;
595;-43.68;
596;-46.19;
597;-48.65;
598;-51.02;
599;-53.44;
600;-55.71;
601;-57.94;
602;-60.16;
603;-62.26;
604;-66.27;
605;-68.24;
606;-70.06;
607;-71.90;
608;-73.55;
609;-75.27;
610;-76.83;
611;-78.36;
612;-79.72;
613;-79.72;
614;-81.04;
615;-82.29;
616;-83.47;
617;-84.54;
618;-85.61;
619;-86.48;
620;-87.34;
621;-88.02;
622;-88.78;
623;-89.37;
624;-89.37;
625;-90.38;
626;-90.74;
627;-90.79;
628;-90.75;
629;-90.69;
630;-90.65;
631;-90.61;
632;-90.58;
633;-90.53;
634;-90.46;
635;-90.17;
636;-90.17;
637;-89.55;
638;-88.81;
639;-87.81;
640;-86.80;
641;-85.70;
642;-84.45;
643;-83.12;
644;-81.73;
645;-80.28;
646;-78.59;
647;-77.08;
648;-75.33;
649;-75.33;
650;-71.71;
651;-69.69;
652;-67.76;
653;-65.77;
654;-65.77;
655;-63.68;
656;-61.57;
657;-59.30;
658;-57.09;
659;-54.76;
660;-52.84;
661;-50.43;
662;-47.70;
663;-45.35;
664;-42.60;
665;-40.01;
666;-37.24;
667;-34.50;
668;-31.88;
669;-31.88;
670;-25.79;
671;-23.00;
672;-20.38;
673;-17.62;
674;-14.81;
675;-12.24;
676;-9.40;
677;-6.56;
678;-3.56;
679;-0.66;
680;-0.66;
681;5.07;
682;7.91;
683;10.77;
684;13.66;
685;16.54;
686;19.37;
687;19.37;
688;22.18;
689;24.95;
690;27.71;
691;30.44;
692;33.12;
693;35.82;
694;38.46;
695;41.09;
696;43.62;
697;46.12;
698;48.54;
699;50.96;
700;53.34;
701;55.67;
702;57.88;
703;60.05;
704;62.21;
705;64.26;
706;66.33;
707;68.20;
708;70.15;
709;71.97;
710;71.97;
711;75.25;
712;78.29;
713;79.68;
714;81.10;
715;82.25;
716;82.25;
717;83.52;
718;84.62;
719;85.57;
720;86.46;
721;87.33;
722;88.17;
723;88.79;
724;89.30;
725;89.61;
726;90.12;
727;90.45;
728;90.65;
729;90.79;
