series0
x;y;
0;-21.72;
1;-19.02;
2;-13.62;
3;-10.76;
4;-7.74;
5;-1.91;
6;-1.91;
7;0.95;
8;6.66;
9;9.54;
10;15.31;
11;20.97;
12;23.77;
13;26.54;
14;29.29;
15;34.73;
16;37.40;
17;40.04;
18;45.09;
19;47.58;
20;49.99;
21;52.42;
22;57.02;
23;59.25;
24;61.42;
25;63.50;
26;65.54;
27;69.36;
28;71.23;
29;72.93;
30;74.65;
31;76.20;
32;79.21;
33;80.59;
34;82.01;
35;83.09;
36;84.30;
37;86.17;
38;87.10;
39;87.92;
40;89.24;
41;89.70;
42;90.10;
43;90.48;
44;90.73;
45;90.87;
46;90.90;
47;90.82;
48;90.67;
49;90.57;
50;90.58;
51;90.60;
52;90.60;
53;90.47;
54;90.00;
55;90.00;
56;89.40;
57;88.61;
58;88.61;
59;87.68;
60;86.54;
61;86.54;
62;85.31;
63;84.12;
64;84.12;
65;82.68;
66;81.22;
67;81.22;
68;79.74;
69;78.09;
70;78.09;
71;76.39;
72;74.72;
73;74.72;
74;72.73;
75;70.92;
76;70.92;
77;68.92;
78;66.78;
79;66.78;
80;64.83;
81;64.83;
82;62.70;
83;60.50;
84;60.50;
85;58.23;
86;58.23;
87;55.98;
88;54.06;
89;54.06;
90;51.85;
91;49.35;
92;49.35;
93;46.74;
94;43.99;
95;43.99;
96;41.23;
97;38.69;
98;38.69;
99;35.88;
100;32.98;
101;30.15;
102;27.29;
103;27.29;
104;24.45;
105;21.66;
106;21.66;
107;18.80;
108;15.85;
109;15.85;
110;13.10;
111;10.28;
112;10.28;
113;7.46;
114;4.81;
115;4.81;
116;2.10;
117;-0.75;
118;-6.72;
119;-9.63;
120;-12.60;
121;-15.48;
122;-18.31;
123;-21.12;
124;-23.87;
125;-29.41;
126;-32.58;
127;-32.58;
128;-37.46;
129;-40.06;
130;-42.64;
131;-47.61;
132;-50.05;
133;-54.74;
134;-57.01;
135;-61.37;
136;-63.47;
137;-65.51;
138;-69.36;
139;-71.19;
140;-72.90;
141;-76.25;
142;-77.80;
143;-80.56;
144;-81.90;
145;-84.19;
146;-85.25;
147;-87.07;
148;-87.85;
149;-89.23;
150;-89.85;
151;-90.50;
152;-90.89;
