series0
x;y;
1361;60.19;
1362;57.96;
1363;53.70;
1364;51.50;
1365;51.50;
1366;48.91;
1367;46.30;
1368;46.30;
1369;43.47;
1370;40.90;
1371;40.90;
1372;38.23;
1373;35.28;
1374;32.43;
1375;29.67;
1376;26.85;
1377;26.85;
1378;24.04;
1379;21.28;
1380;18.37;
1381;15.48;
1382;12.77;
1383;12.77;
1384;10.07;
1385;7.40;
1386;4.52;
1387;1.54;
1388;-1.45;
1389;-4.42;
1390;-7.32;
1391;-10.20;
1392;-15.89;
1393;-24.33;
1394;-27.08;
1395;-29.82;
1396;-32.53;
1397;-37.87;
1398;-40.50;
1399;-43.04;
1400;-45.51;
1401;-50.41;
1402;-52.80;
1403;-57.39;
1404;-59.60;
1405;-61.70;
1406;-65.89;
1407;-67.82;
1408;-69.66;
1409;-73.22;
1410;-74.93;
1411;-76.50;
1412;-79.46;
1413;-80.83;
1414;-82.12;
1415;-84.40;
1416;-85.46;
1417;-86.36;
1418;-88.04;
1419;-88.81;
1420;-89.90;
1421;-90.41;
1422;-90.60;
1423;-90.73;
1424;-90.82;
1425;-90.83;
1426;-90.76;
1427;-90.66;
1428;-90.66;
1429;-90.61;
1430;-90.56;
1431;-90.45;
1432;-90.45;
1433;-89.97;
1434;-89.31;
1435;-88.43;
1436;-87.35;
1437;-86.26;
1438;-85.04;
1439;-83.75;
1440;-82.30;
1441;-82.30;
1442;-80.87;
1443;-79.35;
1444;-77.63;
1445;-77.63;
1446;-76.04;
1447;-76.04;
1448;-74.24;
1449;-72.25;
1450;-70.46;
1451;-68.47;
1452;-66.42;
1453;-64.45;
1454;-64.45;
1455;-62.33;
1456;-62.33;
1457;-59.97;
1458;-57.71;
1459;-55.54;
1460;-53.72;
1461;-51.56;
1462;-48.94;
1463;-48.94;
1464;-46.32;
1465;-43.44;
1466;-40.78;
1467;-38.18;
1468;-35.11;
1469;-35.11;
1470;-32.68;
1471;-29.46;
1472;-26.76;
1473;-24.02;
1474;-21.26;
1475;-18.47;
1476;-15.81;
1477;-15.81;
1478;-13.16;
1479;-10.35;
1480;-7.39;
1481;-4.44;
1482;-1.49;
1483;1.40;
1484;4.28;
1485;4.28;
1486;7.11;
1487;9.97;
1488;12.87;
1489;15.71;
1490;18.56;
1491;18.56;
1492;21.41;
1493;21.41;
1494;24.21;
1495;26.96;
1496;29.74;
1497;32.42;
1498;35.11;
1499;37.74;
1500;40.41;
1501;40.41;
1502;42.97;
1503;45.45;
1504;48.04;
1505;48.04;
1506;50.38;
1507;50.38;
1508;52.82;
1509;55.11;
1510;57.32;
1511;59.64;
1512;61.72;
1513;63.83;
1514;65.89;
1515;67.78;
1516;69.66;
1517;71.54;
1518;73.22;
1519;74.90;
1520;76.48;
1521;79.36;
1522;80.76;
1523;82.14;
1524;83.23;
1525;84.41;
1526;85.47;
1527;87.17;
1528;87.99;
1529;88.71;
1530;89.28;
1531;89.74;
1532;90.11;
1533;90.67;
1534;90.85;
1535;90.90;
1536;90.86;
1537;90.77;
1538;90.58;
1539;90.39;
1540;90.31;
1541;90.33;
1542;90.27;
1543;90.27;
1544;89.91;
1545;89.91;
1546;89.27;
1547;88.54;
1548;87.51;
1549;86.41;
1550;85.22;
1551;85.22;
1552;83.97;
1553;82.53;
1554;81.04;
1555;79.58;
1556;79.58;
1557;77.84;
1558;76.23;
1559;74.46;
1560;72.48;
1561;72.48;
1562;70.71;
1563;68.61;
1564;66.61;
1565;64.56;
1566;64.56;
1567;62.43;
1568;60.22;
1569;57.98;
1570;57.98;
1571;55.67;
1572;53.70;
1573;51.56;
1574;48.95;
1575;46.35;
1576;46.35;
1577;43.52;
1578;40.94;
1579;38.27;
1580;38.27;
1581;35.31;
1582;32.49;
1583;29.72;
1584;29.72;
1585;26.90;
1586;24.10;
1587;21.31;
1588;18.45;
1589;18.45;
1590;15.58;
1591;12.85;
1592;10.14;
1593;10.14;
1594;7.47;
1595;4.57;
1596;1.60;
1597;-1.42;
1598;-1.42;
1599;-4.38;
1600;-7.27;
1601;-10.14;
1602;-12.98;
1603;-12.98;
1604;-15.83;
1605;-18.67;
1606;-21.47;
1607;-21.47;
1608;-24.29;
1609;-27.03;
1610;-29.78;
1611;-29.78;
1612;-32.49;
1613;-35.17;
1614;-37.81;
1615;-37.81;
1616;-40.45;
1617;-42.98;
1618;-45.47;
1619;-47.96;
1620;-47.96;
1621;-50.36;
1622;-52.75;
1623;-55.08;
1624;-55.08;
1625;-57.35;
1626;-59.55;
1627;-61.66;
1628;-61.66;
1629;-63.83;
1630;-65.84;
1631;-67.78;
1632;-69.63;
1633;-71.46;
1634;-71.46;
1635;-73.19;
1636;-73.19;
1637;-74.88;
1638;-76.46;
1639;-78.02;
1640;-79.44;
1641;-80.80;
1642;-80.80;
1643;-82.11;
1644;-83.27;
1645;-84.39;
1646;-85.44;
1647;-85.44;
1648;-86.35;
1649;-87.24;
1650;-88.02;
1651;-88.78;
1652;-89.32;
1653;-89.90;
1654;-90.40;
1655;-90.40;
1656;-90.58;
1657;-90.67;
1658;-90.73;
1659;-90.82;
1660;-90.82;
1661;-90.88;
1662;-90.88;
1663;-90.77;
1664;-90.68;
1665;-90.61;
1666;-90.57;
1667;-90.45;
1668;-89.99;
1669;-89.99;
1670;-89.32;
1671;-88.45;
1672;-87.37;
1673;-86.28;
1674;-85.07;
1675;-83.78;
1676;-83.78;
1677;-80.89;
1678;-79.38;
