series0
x;y;
0;32.74;
1;32.74;
2;27.22;
3;24.52;
4;21.76;
5;19.00;
6;13.39;
7;10.61;
8;7.77;
9;4.92;
10;2.08;
11;-3.59;
12;-9.33;
13;-12.16;
14;-14.98;
15;-20.62;
16;-26.21;
17;-26.21;
18;-28.94;
19;-31.69;
20;-34.37;
21;-37.03;
22;-39.69;
23;-42.28;
24;-47.28;
25;-49.76;
26;-52.16;
27;-54.54;
28;-58.98;
29;-61.18;
30;-63.32;
31;-65.38;
32;-69.25;
33;-71.11;
34;-72.91;
35;-74.62;
36;-77.97;
37;-79.49;
38;-80.84;
39;-82.17;
40;-84.63;
41;-85.69;
42;-87.56;
43;-89.19;
44;-89.91;
45;-90.52;
46;-91.02;
47;-91.36;
48;-91.53;
49;-91.59;
50;-91.53;
51;-91.44;
52;-91.27;
53;-91.24;
54;-91.23;
55;-91.05;
56;-89.98;
57;-89.98;
58;-88.22;
59;-87.07;
60;-84.45;
61;-81.55;
62;-78.34;
63;-76.60;
64;-74.85;
65;-72.98;
66;-70.97;
67;-69.01;
68;-66.93;
69;-62.74;
70;-62.74;
71;-58.15;
72;-55.83;
73;-53.47;
74;-51.04;
75;-46.07;
76;-43.49;
77;-40.86;
78;-38.24;
79;-32.83;
80;-27.32;
81;-24.54;
82;-21.77;
83;-21.77;
84;-16.20;
85;-10.55;
86;-10.55;
87;-4.92;
88;-2.07;
89;0.77;
90;3.59;
91;6.45;
92;12.09;
93;14.97;
94;17.78;
95;23.33;
96;26.13;
97;28.86;
98;31.58;
99;34.22;
100;36.92;
101;42.14;
102;47.17;
103;49.67;
104;52.09;
105;54.50;
106;56.79;
107;59.01;
108;61.26;
109;63.41;
110;65.52;
111;69.44;
112;71.30;
113;73.09;
114;74.79;
115;76.47;
116;78.08;
117;80.89;
118;80.89;
119;84.63;
120;85.69;
121;86.63;
122;87.51;
123;88.39;
124;89.20;
125;90.38;
126;90.76;
127;91.31;
128;91.57;
129;91.48;
130;91.38;
131;91.24;
132;91.18;
133;90.98;
134;90.51;
135;89.12;
136;87.18;
137;87.18;
138;85.92;
139;84.59;
140;81.76;
141;80.16;
142;78.56;
143;76.82;
144;75.05;
145;73.19;
146;69.23;
147;69.23;
148;65.02;
149;62.90;
150;60.67;
151;58.29;
152;53.54;
153;51.13;
154;48.64;
155;46.09;
156;40.81;
157;35.52;
158;32.78;
159;30.02;
160;27.28;
161;24.57;
162;21.82;
163;16.22;
164;13.44;
165;10.67;
166;7.84;
167;2.14;
168;-3.53;
169;-6.41;
170;-9.28;
171;-14.93;
172;-17.76;
173;-20.56;
174;-26.16;
175;-28.88;
176;-28.88;
177;-31.65;
178;-36.98;
179;-39.64;
180;-42.24;
181;-44.76;
182;-49.72;
183;-54.49;
184;-56.76;
185;-58.95;
186;-58.95;
187;-63.26;
188;-65.34;
189;-67.34;
190;-69.21;
191;-72.89;
192;-72.89;
193;-76.30;
194;-77.94;
195;-79.45;
196;-80.82;
197;-83.45;
198;-84.60;
199;-85.67;
200;-86.65;
201;-88.38;
202;-89.89;
203;-90.51;
204;-91.00;
205;-91.36;
206;-91.53;
207;-7.79;
208;-2.13;
209;9.22;
210;12.04;
211;17.71;
212;30.07;
213;24.62;
214;19.11;
215;13.48;
216;10.71;
217;7.88;
218;2.19;
219;-3.48;
220;-9.21;
221;-12.04;
222;-14.88;
223;-17.71;
224;-23.33;
225;-26.10;
226;-31.59;
227;-36.93;
228;-39.59;
229;-42.20;
230;-42.20;
231;-47.19;
232;-49.67;
233;-52.08;
234;-54.44;
235;-58.89;
236;-58.89;
237;-63.22;
238;-65.31;
239;-67.29;
240;-69.18;
241;-71.03;
242;-72.85;
243;-74.55;
244;-76.26;
245;-79.44;
246;-82.11;
247;-83.42;
248;-84.58;
249;-85.65;
250;-87.51;
251;-89.15;
252;-89.87;
253;-90.50;
254;-91.53;
255;-91.60;
256;-91.53;
257;-91.35;
258;-91.25;
259;-91.24;
260;-90.01;
261;-89.24;
262;-87.12;
263;-85.85;
264;-83.13;
265;-81.61;
266;-78.41;
267;-78.41;
268;-73.05;
269;-73.05;
270;-69.09;
271;-67.02;
272;-62.83;
273;-60.61;
274;-55.92;
275;-53.57;
276;-48.68;
277;-43.60;
278;-43.60;
279;-40.97;
280;-35.67;
281;-32.93;
282;-27.42;
283;-24.64;
284;-19.11;
285;-16.30;
286;-10.67;
287;-5.03;
288;-2.18;
289;3.48;
290;6.33;
291;11.98;
292;14.86;
293;20.43;
294;23.23;
295;28.75;
296;31.47;
297;36.82;
298;39.47;
299;44.58;
300;47.08;
301;51.99;
302;54.41;
303;58.92;
304;61.18;
305;65.44;
306;67.44;
307;71.22;
308;73.02;
309;76.40;
310;78.01;
311;80.84;
312;82.19;
313;84.59;
314;85.64;
315;87.46;
316;88.36;
317;89.86;
318;90.38;
319;91.06;
320;91.48;
321;91.30;
322;91.25;
323;91.01;
324;91.01;
325;89.90;
326;89.15;
327;87.23;
328;85.97;
329;83.30;
330;81.83;
331;78.63;
332;76.88;
333;73.26;
334;71.28;
335;67.23;
336;62.98;
337;60.74;
338;58.39;
339;56.04;
340;51.23;
341;48.75;
342;43.60;
343;40.91;
344;35.64;
345;32.88;
346;30.13;
347;27.39;
348;21.93;
349;19.17;
350;13.54;
351;10.78;
352;5.09;
353;2.26;
354;-3.42;
355;-6.30;
356;-12.00;
357;-14.83;
358;-20.46;
359;-23.27;
360;-28.77;
361;-31.54;
362;-36.88;
363;-39.54;
364;-44.66;
365;-47.14;
366;-52.02;
367;-54.39;
368;-58.86;
369;-63.18;
370;-65.25;
371;-67.23;
372;-69.14;
373;-72.81;
374;-74.51;
375;-77.88;
376;-80.77;
377;-82.09;
378;-84.56;
379;-85.62;
380;-87.50;
381;-88.35;
382;-89.85;
383;-90.48;
384;-91.34;
385;-91.34;
386;-91.59;
387;-91.58;
388;-91.34;
389;-91.25;
390;-91.22;
391;-91.08;
392;-90.63;
393;-89.26;
394;-88.28;
395;-85.88;
396;-84.54;
397;-81.65;
398;-80.07;
399;-76.71;
400;-74.96;
401;-71.08;
402;-71.08;
403;-64.98;
404;-60.65;
405;-58.30;
406;-55.97;
407;-53.61;
408;-48.72;
409;-46.21;
410;-41.01;
411;-38.39;
412;-35.72;
413;-32.98;
414;-27.48;
415;-24.70;
416;-19.16;
417;-16.35;
418;-10.73;
419;-7.89;
420;-2.23;
421;0.60;
422;3.43;
423;6.28;
424;11.93;
425;17.60;
426;20.38;
427;25.96;
428;28.69;
429;34.06;
430;34.06;
431;42.01;
432;44.53;
433;49.53;
434;51.93;
435;56.66;
436;58.87;
437;63.29;
438;65.41;
439;69.31;
440;71.18;
441;74.69;
442;78.01;
443;79.46;
444;82.16;
445;84.57;
446;85.62;
447;86.56;
448;88.34;
449;89.17;
450;90.36;
451;90.74;
452;91.30;
453;91.48;
454;91.57;
455;91.48;
456;91.31;
457;91.25;
458;91.01;
459;90.54;
460;89.17;
461;88.28;
462;86.00;
463;84.67;
464;81.86;
465;80.26;
466;76.92;
467;75.15;
468;71.31;
469;71.31;
470;67.26;
471;65.16;
472;60.79;
473;58.44;
474;53.68;
475;51.28;
476;46.25;
477;43.66;
478;38.32;
479;35.68;
480;30.17;
481;30.17;
482;24.73;
483;21.98;
484;16.36;
485;13.60;
486;7.99;
487;5.14;
488;-0.53;
489;-0.53;
490;-6.24;
491;-17.59;
492;-23.22;
493;-28.72;
494;-31.48;
495;-36.83;
496;-42.09;
497;-44.61;
498;-49.57;
499;-54.35;
500;-58.80;
501;-63.15;
