series0
x;y;
0;-71.67;
1;-75.11;
2;-76.68;
3;-80.98;
4;-82.25;
5;-83.42;
6;-85.58;
7;-86.45;
8;-87.35;
9;-88.88;
10;-89.39;
11;-90.46;
12;-90.71;
13;-90.75;
14;-90.80;
15;-90.81;
16;-90.72;
17;-90.59;
18;-90.54;
19;-90.40;
20;-90.40;
21;-89.90;
22;-89.23;
23;-88.33;
24;-88.33;
25;-87.24;
26;-86.14;
27;-86.14;
28;-84.92;
29;-83.63;
30;-82.15;
31;-80.70;
32;-79.19;
33;-77.44;
34;-75.85;
35;-74.04;
36;-72.03;
37;-70.24;
38;-68.29;
39;-66.26;
40;-66.26;
41;-64.20;
42;-62.10;
43;-59.74;
44;-57.48;
45;-55.32;
46;-53.53;
47;-51.32;
48;-48.66;
49;-46.02;
50;-43.15;
51;-40.53;
52;-34.73;
53;-34.73;
54;-29.07;
55;-26.42;
56;-23.71;
57;-20.95;
58;-18.24;
59;-15.67;
60;-12.89;
61;-10.03;
62;-7.03;
63;-4.09;
64;-1.15;
65;1.71;
66;4.59;
67;7.41;
68;10.26;
69;16.02;
70;18.88;
71;21.71;
72;24.50;
73;27.25;
74;30.02;
75;32.72;
76;35.38;
77;38.02;
78;40.69;
79;45.75;
80;48.28;
81;50.62;
82;53.08;
83;55.32;
84;57.56;
85;59.89;
86;62.00;
87;64.01;
88;66.08;
89;69.86;
90;71.73;
91;73.40;
92;75.09;
93;76.64;
94;78.16;
95;79.52;
96;80.91;
97;82.27;
98;83.35;
99;85.55;
100;86.39;
101;87.26;
102;88.77;
103;89.36;
104;89.79;
105;90.16;
106;90.51;
107;90.70;
108;90.86;
109;90.85;
110;90.76;
111;90.54;
112;90.36;
113;90.33;
114;90.33;
115;90.26;
116;90.26;
117;89.85;
118;89.20;
119;89.20;
120;88.45;
121;87.37;
122;86.29;
123;85.07;
124;83.82;
125;83.82;
126;82.35;
127;80.88;
128;79.42;
129;77.63;
130;76.03;
131;74.23;
132;72.24;
133;70.48;
134;70.48;
135;68.38;
136;68.38;
137;66.39;
138;64.34;
139;62.21;
140;59.99;
141;57.73;
142;55.43;
143;53.52;
144;51.29;
145;51.29;
146;48.69;
147;48.69;
148;46.04;
149;43.25;
150;40.65;
151;40.65;
152;37.95;
153;34.97;
154;32.64;
155;29.41;
156;26.57;
157;23.78;
158;21.04;
159;18.09;
160;15.27;
161;12.64;
162;10.00;
163;7.10;
164;4.15;
165;1.17;
166;-1.74;
167;-4.68;
168;-7.54;
169;-10.43;
170;-13.25;
171;-16.14;
172;-18.95;
173;-21.76;
174;-24.59;
175;-27.32;
176;-30.08;
177;-32.78;
178;-35.47;
179;-38.10;
180;-38.10;
181;-40.73;
182;-43.25;
183;-43.25;
184;-45.73;
185;-48.22;
186;-50.62;
187;-52.99;
188;-52.99;
189;-55.34;
190;-57.59;
191;-57.59;
192;-59.80;
193;-61.88;
194;-64.05;
195;-64.05;
196;-66.05;
197;-67.98;
198;-69.84;
199;-69.84;
200;-71.64;
201;-73.37;
202;-75.08;
203;-75.08;
204;-76.64;
205;-78.19;
206;-79.58;
207;-79.58;
208;-80.96;
209;-82.23;
210;-83.39;
211;-84.49;
212;-84.49;
213;-85.55;
214;-86.45;
215;-87.32;
216;-88.13;
217;-88.86;
218;-89.35;
219;-89.94;
220;-90.44;
221;-90.65;
222;-90.72;
223;-90.78;
224;-90.89;
225;-90.93;
226;-90.88;
227;-90.80;
228;-90.72;
229;-90.66;
230;-90.60;
231;-90.45;
232;-89.90;
233;-89.24;
234;-88.31;
235;-87.23;
236;-86.15;
237;-84.89;
238;-83.60;
239;-82.15;
240;-80.67;
241;-79.18;
242;-77.44;
243;-75.86;
244;-74.04;
245;-72.04;
246;-70.25;
247;-68.30;
248;-66.27;
249;-64.25;
250;-62.13;
251;-59.77;
252;-57.51;
253;-55.35;
254;-53.56;
255;-51.34;
256;-48.71;
257;-46.07;
258;-43.18;
259;-40.54;
260;-37.92;
261;-34.83;
262;-31.89;
263;-29.19;
264;-29.19;
265;-26.50;
266;-23.76;
267;-21.01;
268;-18.23;
269;-15.65;
270;-12.93;
271;-10.10;
272;-7.11;
273;-4.15;
274;-1.21;
275;1.66;
276;4.53;
277;7.36;
278;10.21;
279;13.12;
280;13.12;
281;15.97;
282;18.82;
283;18.82;
284;24.45;
285;27.19;
286;29.96;
287;32.66;
288;35.34;
289;37.97;
290;40.65;
291;43.19;
292;43.19;
293;45.70;
294;48.25;
295;50.60;
296;53.03;
297;55.29;
298;57.52;
299;59.82;
300;61.90;
301;61.90;
302;64.03;
303;66.06;
304;67.94;
305;69.83;
306;71.70;
307;73.36;
308;75.09;
309;75.09;
310;76.65;
311;78.16;
312;79.54;
313;80.89;
314;82.23;
315;83.32;
316;83.32;
317;84.50;
318;85.50;
319;86.35;
320;87.22;
321;88.05;
322;88.05;
323;88.76;
324;89.33;
325;89.77;
326;90.15;
327;90.47;
328;90.71;
329;90.85;
330;90.89;
331;90.87;
332;90.74;
333;90.40;
334;90.34;
335;90.37;
336;90.37;
337;90.28;
338;89.87;
339;89.23;
340;88.47;
341;87.41;
342;86.31;
343;85.11;
344;83.83;
345;82.40;
346;80.91;
347;79.45;
348;79.45;
349;77.65;
350;76.08;
351;74.26;
352;72.28;
353;70.52;
354;68.40;
355;66.42;
356;64.38;
357;64.38;
358;62.25;
359;60.03;
360;57.77;
361;55.47;
362;53.56;
363;51.34;
364;48.74;
365;46.09;
366;43.29;
367;40.72;
368;38.01;
369;35.04;
370;32.74;
371;29.46;
372;26.64;
373;23.85;
374;21.09;
375;21.09;
376;18.19;
377;15.34;
378;12.66;
379;10.04;
380;10.04;
381;4.22;
382;1.24;
383;-1.70;
384;-4.65;
385;-7.49;
386;-10.37;
387;-13.20;
388;-16.08;
389;-18.90;
390;-21.72;
391;-24.53;
392;-27.28;
393;-30.02;
394;-30.02;
395;-35.40;
396;-38.05;
397;-38.05;
398;-40.68;
399;-43.21;
400;-45.70;
401;-48.17;
402;-48.17;
403;-52.97;
404;-55.30;
405;-57.56;
406;-59.75;
407;-61.85;
408;-63.99;
409;-66.01;
410;-67.94;
411;-67.94;
412;-69.79;
413;-71.61;
414;-73.34;
415;-75.06;
416;-76.61;
417;-78.18;
418;-79.56;
419;-80.94;
420;-80.94;
421;-83.38;
422;-84.47;
423;-85.54;
424;-85.54;
425;-86.43;
426;-87.31;
427;-88.15;
